GEOID,county,state,gop_margin,total_votes,pop,urban,share_women,age_00_17,age_18_24,age_25_44,age_45_64,age_65_99,foreign_share,share_college,share_white,share_black,log_hh_income,gini,delta_unemployment,cases_per10k,deaths_per100k,mobility_deaths_peak,mobility_cases_peak
01001,Autauga County,Alabama,0.4441843716240547,27770,55380,FALSE,0.5136511375947995,0.23844348140122787,0.12018779342723004,0.2622788010111954,0.22952329360780066,0.14956663055254604,0.023456121343445286,0.3269472436277416,0.7460274467316721,0.19003250270855904,10.980740002082829,0.4542,0.02415922105192869,391.47706753340555,55.97688696280245,-38.218279569892474,-28.343589743589742
01003,Baldwin County,Alabama,0.5376234283682382,109679,212830,TRUE,0.5137151717333083,0.2172391110275807,0.10153173894657708,0.23946812009585114,0.24192548043039044,0.1998355494996006,0.037231593290419585,0.3887391578378703,0.8307240520603298,0.09173988629422544,10.973717513311941,0.4587,0.031580938840418016,326.78663722219613,33.35995865244561,-36.362365591397854,-24.702083333333334
01005,Barbour County,Alabama,0.07663053812511883,10518,25361,FALSE,0.470801624541619,0.20925831000354875,0.10938054493119356,0.26272623319269744,0.23291668309609243,0.1857182287764678,0.027167698434604315,0.17273361922808417,0.45810496431528724,0.4743898111273215,10.389795048488393,0.4883,0.030919543920832078,417.57028508339573,35.487559638815505,-25.89569892473118,-19.766666666666666
01007,Bibb County,Alabama,0.5772798332464825,9595,22493,FALSE,0.45983194771706754,0.2058862757302272,0.10714444493842529,0.28293246787889564,0.2446983505979638,0.15933846085448805,0.015115813808740497,0.16543500167954317,0.7452540790468145,0.2214466722980483,10.769389843677056,0.4487,0.038058765508470795,389.8990797136887,66.68741386209042,-33.79462365591398,-25.633333333333333
01009,Blount County,Alabama,0.8000217485863419,27588,57681,FALSE,0.5059898406754391,0.2321214958131794,0.10849326467987726,0.24853938038522216,0.2318267713805239,0.17901908774119726,0.045404899360274614,0.24444594960715255,0.8689343111249805,0.015273660304086268,10.80687539905476,0.457,0.01567610093996771,365.631663806106,43.341828331686344,-34.42903225806452,-28.223076923076924
01011,Bullock County,Alabama,-0.49859093865163673,4613,10248,FALSE,0.45638173302107726,0.20765027322404372,0.12929352068696331,0.24795081967213115,0.25507416081186574,0.1600312256049961,0.00702576112412178,0.15024630541871922,0.21379781420765026,0.748048399687744,10.539693942633264,0.4731,0.019866078795453324,637.1975019516003,165.88602654176427,-27,-23
01013,Butler County,Alabama,0.1573566610455312,9488,19828,FALSE,0.5420112971555376,0.22468226750050432,0.10873512204962679,0.2476800484163809,0.22221101472664917,0.19669154730683883,0.007716360702037523,0.2205815390619918,0.5160379261650192,0.45027234214242484,10.613713064630824,0.4619,0.05025817982238876,515.9370587048618,206.77829332257411,-34.38924731182796,-18.766666666666666
01015,Calhoun County,Alabama,0.39003197144146085,50983,114618,TRUE,0.5189150046240556,0.21769704583922245,0.12789439704060443,0.2477708562354953,0.23443089218098379,0.172206808703694,0.026618855677118778,0.24936988379095756,0.7207244935350469,0.20661676176516777,10.763334908987071,0.4633,0.039524786366909176,426.02383569770893,56.71011533964997,-37.24193548387097,-24.27777777777778
01017,Chambers County,Alabama,0.15624182151269306,15284,33660,FALSE,0.5220142602495543,0.20989304812834225,0.1163101604278075,0.23737373737373738,0.24420677361853832,0.19221628045157457,0.018389780154486036,0.20985147584132355,0.5554664289958408,0.39560308972073677,10.652305930466534,0.423,0.038743164769143815,413.5472370766488,139.6316102198455,-43.43118279569892,-25.366666666666667
01019,Cherokee County,Alabama,0.7283147711568165,12301,25903,FALSE,0.5067366714280199,0.2024861985098251,0.09520132803150214,0.21213759024051268,0.26583793383005827,0.22433694938810175,0.008570435856850557,0.19866395585245425,0.9172296645176234,0.04597923020499556,10.643518318994923,0.4515,0.017680074103832117,301.89553333590703,57.908350384125384,-26.431182795698927,-14.066666666666666
01021,Chilton County,Alabama,0.6738477472812014,19310,44055,FALSE,0.5129043241402792,0.24140279196458972,0.11086142322097378,0.2651458404267393,0.22251730791056634,0.16007263647713085,0.04555669050051073,0.19135248354278875,0.8013165361479968,0.09172625127681308,10.767832145387093,0.4719,0.024630171045440415,442.8555215072069,74.90636704119851,-36.13655913978494,-28.833333333333336
01023,Choctaw County,Alabama,0.15661843515541268,7464,12925,FALSE,0.5245647969052224,0.2013926499032882,0.10382978723404256,0.2143907156673114,0.25431334622823987,0.22607350096711798,0.006344294003868472,0.2128463476070529,0.5637911025145068,0.425531914893617,10.48829756939169,0.469,0.021129521604210416,305.6092843326886,92.84332688588007,-31.110869565217392,-26.683333333333334
01025,Clarke County,Alabama,0.11945184621240956,13135,24128,FALSE,0.5273955570291777,0.21912301061007958,0.11617208222811672,0.2292357427055703,0.24154509283819628,0.19392407161803712,0.0023624005305039786,0.18645507138686906,0.5271883289124668,0.4577254641909814,10.529559664306506,0.5158,0.03255535813367936,581.4820954907162,70.4575596816976,-23.902150537634405,-16.966666666666665
01027,Clay County,Alabama,0.6253968253968254,6930,13337,FALSE,0.5172827472445077,0.2082927195021369,0.1134438029541876,0.22703756466971584,0.248931543825448,0.20229436904851167,0.020019494638974282,0.1863812861066389,0.803554022643773,0.1550573592262128,10.617564176277103,0.4615,0.010360414314031615,580.3404063882432,89.9752568043788,-27.28913043478261,-22.71666666666667
